id,Unnamed: 0,wgs84x,wgs84y,delta,delta+,delta-
365,234,121.5138301220235,25.059124985517286,22,22.0,0.0
371,235,121.6185821916041,25.055275014579312,0,0.0,0.0
372,236,121.57171286563666,25.049716398519372,-46,0.0,46.0
373,237,121.59666754128064,25.06632998154377,42,42.0,0.0
374,238,121.61921636907013,25.0726085015776,-9,0.0,9.0
375,239,121.51882503229014,25.1189839899646,50,50.0,0.0
376,240,121.52131440326805,25.119718441647805,-30,0.0,30.0
377,241,121.520523453282,25.11913304694881,237,237.0,0.0
378,242,121.51940308206896,25.119165956440234,288,288.0,0.0
379,243,121.53764607709455,25.057628142647772,199,199.0,0.0
380,244,121.56360199861831,25.05552903881888,0,0.0,0.0
381,245,121.61512171077351,25.056068140575075,322,322.0,0.0
382,246,121.61433500246632,25.05965198293927,70,70.0,0.0
383,247,121.5360090036736,25.057122981869146,61,61.0,0.0
384,248,121.5625099964123,24.98788400746621,-48,0.0,48.0
385,249,121.55560200198481,24.988743977119274,-16,0.0,16.0
386,250,121.52917299554872,25.01401091870181,50,50.0,0.0
387,251,121.612171630532,25.05870187474105,0,0.0,0.0
388,252,121.5380979954732,25.034768969030647,28,28.0,0.0
389,253,121.5380200032818,25.03473593778308,79,79.0,0.0
391,254,121.53779000129043,25.037252987013286,64,64.0,0.0
392,255,121.53795100084469,25.038574927622644,75,75.0,0.0
393,256,121.53706000200823,25.043001005485092,17,17.0,0.0
394,257,121.5202459980112,25.091042990715504,20,20.0,0.0
395,258,121.57491200018757,25.07184896069461,33,33.0,0.0
396,259,121.5757370026819,25.071920966591613,73,73.0,0.0
397,260,121.52094200382194,25.09658195220068,39,39.0,0.0
398,261,121.55986511619057,25.050216628855683,0,0.0,0.0
399,262,121.52026891299904,25.09402595211992,0,0.0,0.0
400,263,121.52694996072123,25.090782978267807,0,0.0,0.0
401,264,118.7545660707316,0.0,0,0.0,0.0
402,265,121.55181800061882,25.05141199134974,59,59.0,0.0
403,266,121.52467499889471,25.09454697031973,5,5.0,0.0
404,267,121.50882399227577,25.039223992261338,0,0.0,0.0
405,268,121.56839193996427,25.036879980538412,-36,0.0,36.0
406,269,121.55780198560957,25.026504969546966,-15,0.0,15.0
407,270,121.54014695797552,25.054652990463314,16,16.0,0.0
408,271,121.56954492630906,25.04814698715736,16,16.0,0.0
409,272,121.5614799231724,25.026706983488488,-7,0.0,7.0
410,273,121.56109094002741,25.026321960596967,0,0.0,0.0
412,274,121.56598887229376,24.98437504060532,-21,0.0,21.0
413,275,121.57190441833764,25.042083359188727,3,3.0,0.0
414,276,121.57188938151505,25.04243090635764,6,6.0,0.0
415,277,121.56722995119637,24.98874299163732,0,0.0,0.0
416,278,121.467831997274,25.121014000124465,3,3.0,0.0
417,279,121.53093999666781,25.068391953886103,-15,0.0,15.0
418,280,121.5579803360972,24.99985039999825,0,0.0,0.0
419,281,121.51030093137173,25.07234630690498,-16,0.0,16.0
420,282,121.55253699582714,25.04984295185675,3,3.0,0.0
421,283,121.46245027672391,25.118681969316203,13,13.0,0.0
422,284,121.50277318035904,25.13251269416641,4,4.0,0.0
423,285,121.50384814254915,25.0430262526452,4,4.0,0.0
424,286,121.52036161386116,25.049231575980468,5,5.0,0.0
425,287,121.51621138290012,25.06478464039774,10,10.0,0.0
426,288,121.57557479364165,25.001013261672945,2,2.0,0.0
427,289,121.46673765009865,25.126053561100694,6,6.0,0.0
428,290,121.5355939065637,25.116304975299965,-57,0.0,57.0
429,291,121.57350100284188,25.03150093975832,2,2.0,0.0
430,292,121.54203362551064,24.990010559162045,4,4.0,0.0
431,293,121.52856999903051,25.01165193948719,6,6.0,0.0
432,294,121.60451110826438,25.062765333978966,4,4.0,0.0
433,295,121.53512318253559,25.010921149964386,-17,0.0,17.0
434,296,121.57206923653617,25.085725772090782,-7,0.0,7.0
435,297,121.57505185877979,25.078257665678553,8,8.0,0.0
436,298,121.51976655791785,25.092837638127712,-23,0.0,23.0
437,299,121.49939080843443,25.10973019995257,-4,0.0,4.0
438,300,121.53447822059502,25.026663791299033,-3,0.0,3.0
439,301,121.46941924643822,25.119199853143343,-3,0.0,3.0
440,302,121.56691270686642,25.033208324042818,-1,0.0,1.0
441,303,121.60672898176942,25.054610157157732,0,0.0,0.0
442,304,121.50977028117019,25.11672969122737,-16,0.0,16.0
443,305,121.5235486535758,25.03273842679132,0,0.0,0.0
444,306,121.50688989483601,25.050245787585613,3,3.0,0.0
445,307,121.51426505015112,25.074987508201488,2,2.0,0.0
446,308,121.51660799790052,25.10441221771942,0,0.0,0.0
447,309,121.52132704980268,25.08959633603094,-9,0.0,9.0
448,310,121.50372220048288,25.137414199908925,13,13.0,0.0
449,311,121.58169060036388,25.04868475960621,17,17.0,0.0
450,312,121.49642238919996,25.02850965610009,-38,0.0,38.0
451,313,121.58893361807553,25.06928078409081,-22,0.0,22.0
452,314,121.55024581663936,25.04884130768227,0,0.0,0.0
453,315,121.4664030184647,25.12017907550705,17,17.0,0.0
454,316,121.48397138523157,25.134871025007,118,118.0,0.0
456,317,121.53163478649141,25.04534109442173,44,44.0,0.0
457,318,121.53350515991596,25.064399221659627,6,6.0,0.0
458,319,121.51577815253195,25.06631748665935,1,1.0,0.0
459,320,121.57009232725466,24.989565076698327,-3,0.0,3.0
460,321,121.51053907628729,25.054949201993583,38,38.0,0.0
461,322,121.5466346525617,25.020752500023352,57,57.0,0.0
462,323,121.51794124617037,25.049177470170523,-4,0.0,4.0
463,324,121.55447798331413,25.058788920556324,0,0.0,0.0
464,325,121.57718440269709,25.04982307597005,0,0.0,0.0
465,326,121.51728292365559,25.068870985307022,0,0.0,0.0
466,327,121.54620296423842,25.02051610612295,6,6.0,0.0
470,328,121.55144586683754,25.00152140350073,5,5.0,0.0
471,329,121.55312523855291,25.030614421246558,-25,0.0,25.0
472,330,121.565163622336,25.04066791522695,100,100.0,0.0
473,331,121.52104641309064,25.05034739367773,-1,0.0,1.0
474,332,121.56932188774874,25.079383067375627,24,24.0,0.0
475,333,121.59439735314928,25.084134946980928,-7,0.0,7.0
476,334,121.50675309747533,25.047408092011434,8,8.0,0.0
477,335,121.53098732821506,25.033961433575744,0,0.0,0.0
478,336,121.52395424683337,25.05515436551887,-2,0.0,2.0
479,337,121.53555164409254,25.052318001610733,7,7.0,0.0
480,338,121.53237380535921,25.111480548062893,-12,0.0,12.0
481,339,121.52422072373287,25.08780707673093,-34,0.0,34.0
482,340,121.55531656322205,25.035241892363228,0,0.0,0.0
483,341,121.51801065027071,25.048512490262752,0,0.0,0.0
484,342,121.61064004402296,25.06649941363238,-38,0.0,38.0
